epoch,acc
0,0.638
1,0.69
2,0.724
3,0.726
4,0.726
5,0.722
6,0.736
7,0.734
8,0.712
9,0.73
10,0.748
11,0.732
12,0.712
13,0.732
14,0.732
15,0.724
16,0.716
17,0.752
18,0.766
19,0.72
20,0.752
21,0.762
22,0.75
23,0.724
24,0.758
25,0.736
26,0.734
27,0.742
28,0.754
29,0.75
30,0.754
31,0.758
32,0.74
33,0.73
34,0.746
35,0.724
36,0.734
37,0.744
38,0.736
39,0.752
40,0.75
41,0.746
42,0.748
43,0.754
44,0.744
45,0.76
46,0.742
47,0.742
48,0.74
49,0.78
50,0.776
51,0.744
52,0.77
53,0.744
54,0.774
55,0.764
56,0.778
57,0.766
58,0.78
59,0.746
60,0.754
61,0.77
62,0.768
63,0.79
64,0.784
65,0.774
66,0.782
67,0.77
68,0.794
69,0.794
70,0.778
71,0.766
72,0.796
73,0.778
74,0.776
75,0.794
76,0.798
77,0.792
78,0.81
79,0.806
80,0.814
81,0.8
82,0.802
83,0.82
84,0.792
85,0.798
86,0.806
87,0.804
88,0.794
89,0.804
90,0.804
91,0.788
92,0.788
93,0.802
94,0.8
95,0.8
96,0.79
97,0.804
98,0.792
99,0.808
100,0.798
101,0.79
102,0.802
103,0.794
104,0.79
105,0.798
106,0.784
107,0.798
108,0.804
109,0.8
110,0.818
111,0.798
112,0.812
113,0.796
114,0.802
115,0.802
116,0.8
117,0.8
118,0.81
119,0.79
120,0.788
121,0.812
122,0.808
123,0.798
124,0.798
125,0.802
126,0.802
127,0.804
128,0.818
129,0.798
130,0.806
131,0.8
132,0.806
133,0.814
134,0.79
135,0.78
136,0.81
137,0.808
138,0.822
139,0.82
140,0.784
141,0.794
142,0.81
143,0.812
144,0.812
145,0.804
146,0.796
147,0.796
148,0.796
149,0.786
